Age,Gender,Item Purchased,Category,Purchase Amount (USD),Location,Season
55,Male,Blouse,Clothing,53,Kentucky,Winter
19,Male,Sweater,Clothing,64,Maine,Winter
50,Male,Jeans,Clothing,73,Massachusetts,Spring
21,Male,Sandals,Footwear,90,Rhode Island,Spring
45,Male,Blouse,Clothing,49,Oregon,Spring
46,Male,Sneakers,Footwear,20,Wyoming,Summer
63,Male,Shirt,Clothing,85,Montana,Fall
27,Male,Shorts,Clothing,34,Louisiana,Winter
26,Male,Coat,Outerwear,97,West Virginia,Summer
57,Male,Handbag,Accessories,31,Missouri,Spring
53,Male,Shoes,Footwear,34,Arkansas,Fall
30,Male,Shorts,Clothing,68,Hawaii,Winter
61,Male,Coat,Outerwear,72,Delaware,Winter
65,Male,Dress,Clothing,51,New Hampshire,Spring
64,Male,Coat,Outerwear,53,New York,Winter
64,Male,Skirt,Clothing,81,Rhode Island,Winter
25,Male,Sunglasses,Accessories,36,Alabama,Spring
53,Male,Dress,Clothing,38,Mississippi,Winter
52,Male,Sweater,Clothing,48,Montana,Summer
66,Male,Pants,Clothing,90,Rhode Island,Summer
21,Male,Pants,Clothing,51,Louisiana,Winter
31,Male,Pants,Clothing,62,North Carolina,Winter
56,Male,Pants,Clothing,37,California,Summer
31,Male,Pants,Clothing,88,Oklahoma,Winter
18,Male,Jacket,Outerwear,22,Florida,Fall
18,Male,Hoodie,Clothing,25,Texas,Summer
38,Male,Jewelry,Accessories,20,Nevada,Spring
56,Male,Shorts,Clothing,56,Kentucky,Summer
54,Male,Handbag,Accessories,94,North Carolina,Fall
31,Male,Dress,Clothing,48,Wyoming,Fall
57,Male,Jewelry,Accessories,31,North Carolina,Winter
33,Male,Dress,Clothing,79,West Virginia,Winter
36,Male,Jacket,Outerwear,67,Kansas,Summer
54,Male,Pants,Clothing,38,Colorado,Summer
36,Male,T-shirt,Clothing,91,North Dakota,Spring
54,Male,Blouse,Clothing,33,Massachusetts,Summer
35,Male,T-shirt,Clothing,69,Illinois,Winter
35,Male,Jeans,Clothing,45,Indiana,Summer
29,Male,Dress,Clothing,37,Florida,Winter
70,Male,Pants,Clothing,60,Arizona,Summer
69,Male,Handbag,Accessories,76,Louisiana,Winter
67,Male,Scarf,Accessories,39,Alaska,Spring
20,Male,Coat,Outerwear,100,Tennessee,Spring
25,Male,Scarf,Accessories,69,Ohio,Fall
39,Male,Hat,Accessories,53,Kentucky,Summer
50,Male,Socks,Clothing,21,Tennessee,Fall
57,Male,Shirt,Clothing,43,California,Summer
55,Male,Jewelry,Accessories,54,Montana,Winter
42,Male,Shirt,Clothing,55,Nevada,Summer
68,Male,Hoodie,Clothing,30,New Jersey,Spring
49,Male,Blouse,Clothing,28,Maryland,Spring
59,Male,Skirt,Clothing,59,Vermont,Winter
42,Male,T-shirt,Clothing,20,Alaska,Summer
29,Male,Skirt,Clothing,24,Mississippi,Winter
47,Male,Coat,Outerwear,94,New Mexico,Summer
40,Male,Jacket,Outerwear,28,South Carolina,Winter
41,Male,Backpack,Accessories,73,Mississippi,Summer
21,Male,Coat,Outerwear,64,West Virginia,Summer
69,Male,Hoodie,Clothing,54,Missouri,Summer
63,Male,Belt,Accessories,79,Louisiana,Spring
50,Male,Sweater,Clothing,37,Idaho,Summer
55,Male,Scarf,Accessories,68,Texas,Winter
30,Male,Sneakers,Footwear,21,Mississippi,Spring
33,Male,Sunglasses,Accessories,79,Arizona,Winter
65,Male,Boots,Footwear,83,Alabama,Fall
65,Male,Backpack,Accessories,36,New Jersey,Spring
31,Male,Blouse,Clothing,94,Pennsylvania,Winter
45,Male,Coat,Outerwear,33,Connecticut,Winter
57,Male,Handbag,Accessories,46,Utah,Summer
48,Male,Belt,Accessories,70,Tennessee,Summer
22,Male,Belt,Accessories,29,Alabama,Fall
36,Male,Dress,Clothing,48,Virginia,Summer
18,Male,Dress,Clothing,26,Georgia,Winter
48,Male,Pants,Clothing,85,Hawaii,Spring
49,Male,Gloves,Accessories,58,Indiana,Spring
64,Male,Scarf,Accessories,85,Utah,Summer
50,Male,Hat,Accessories,43,Delaware,Summer
22,Male,Dress,Clothing,53,Delaware,Summer
50,Male,Skirt,Clothing,91,Nebraska,Spring
38,Male,Jacket,Outerwear,96,Iowa,Winter
19,Male,Sandals,Footwear,72,New York,Summer
67,Male,Shoes,Footwear,96,Virginia,Summer
19,Male,Pants,Clothing,28,Georgia,Spring
36,Male,Dress,Clothing,40,Texas,Summer
52,Male,Coat,Outerwear,32,Arizona,Spring
53,Male,Sunglasses,Accessories,95,New Mexico,Winter
24,Male,Hoodie,Clothing,41,Nevada,Spring
52,Male,Shoes,Footwear,53,Ohio,Fall
33,Male,T-shirt,Clothing,47,Wyoming,Fall
47,Male,Jacket,Outerwear,83,California,Fall
25,Male,Hat,Accessories,48,South Carolina,Summer
44,Male,Scarf,Accessories,99,South Carolina,Winter
61,Male,Jacket,Outerwear,87,Texas,Winter
37,Male,Sweater,Clothing,62,Florida,Fall
58,Male,Skirt,Clothing,76,Nevada,Spring
37,Male,Sneakers,Footwear,100,Missouri,Fall
